,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
542,0.223606798,ephedra,shrub,ephedra,85,35,cyl.ram,cactus,cyl.ram,68,80
543,0.364005495,ephedra,shrub,ephedra,54,44,yuc.sch,yucca,yuc.sch,38,32
545,0.838152731,ephedra,shrub,ephedra,76,45,ephedra,shrub,ephedra,54,44
119,0.670820393,eri.coo,shrub,eri.coo,50,38,tha.mon,shrub,tha.mon,70,45
43,1.202081528,eri.fas,shrub,eri.fas,57,32,ephedra,shrub,ephedra,84,41
124,0.610327781,eri.fas,shrub,eri.fas,38,34,u3,shrub,u3,46,40
126,2.015564437,eri.fas,shrub,eri.fas,16,15,u3,shrub,u3,18,30
521,0.05,eri.fas,shrub,eri.fas,27,45,sal.mex,shrub,sal.mex,42,47
23,1.680773632,lar.tri,shrub,lar.tri,350,254,u3,shrub,u3,23,17
35,0,lar.tri,shrub,lar.tri,340,230,ephedra,shrub,ephedra,105,70
62,1.686712779,lar.tri,shrub,lar.tri,375,185,u3,shrub,u3,70,52
73,0.790569415,lar.tri,shrub,lar.tri,68,68,tha.mon,shrub,tha.mon,67,40
111,0.81394103,lar.tri,shrub,lar.tri,470,208,u3,shrub,u3,37,39
132,1.331352696,lar.tri,shrub,lar.tri,290,235,tha.mon,shrub,tha.mon,80,42
133,2.100595154,lar.tri,shrub,lar.tri,310,185,u3,shrub,u3,18,30
160,0.254950976,lar.tri,shrub,lar.tri,28,23,u3,shrub,u3,64,46
173,1.167261753,lar.tri,shrub,lar.tri,370,225,ephedra,shrub,ephedra,132,60
174,2.530316186,lar.tri,shrub,lar.tri,525,196,ephedra,shrub,ephedra,73,41
197,1.7,lar.tri,shrub,lar.tri,287,185,yuc.sch,yucca,yuc.sch,319,240
207,1.504160896,lar.tri,shrub,lar.tri,438,258,tha.mon,shrub,tha.mon,79,46
236,1.992485884,lar.tri,shrub,lar.tri,413,246,cyl.ram,cactus,cyl.ram,127,87
241,0.212132035,lar.tri,shrub,lar.tri,183,122,u3,shrub,u3,98,55
256,0.827647268,lar.tri,shrub,lar.tri,438,258,men.spi,shrub,men.spi,62,30
289,1.806239187,lar.tri,shrub,lar.tri,330,176,cyl.ram,cactus,cyl.ram,47,75
302,1.151086443,lar.tri,shrub,lar.tri,273,211,u3,shrub,u3,0,NA
308,2.650471656,lar.tri,shrub,lar.tri,492,235,u3,shrub,u3,62,40
