,names,Joincount,Expected,Variance,z.value,p,transect
277,eri.fas:cyl.ram,2.5,1.776824034,0.612114625,0.924331187,0.35531391,6
278,eri.fas:ephedra,6.208333333,9.575107296,2.818988996,-2.005244203,0.044936947,6
279,lar.tri:amb.sal,1.516666667,4.538626609,1.482961852,-2.481553906,0.013081092,6
280,lar.tri:cyl.aca,0,0.100858369,0.035755121,-0.533387477,0.593765385,6
281,lar.tri:cyl.ech,1.058333333,2.118025751,0.724126325,-1.245296189,0.213022896,6
282,lar.tri:cyl.ram,1.5,1.815450644,0.624116578,-0.399299309,0.689672676,6
283,lar.tri:ephedra,12.58333333,9.783261803,2.875577471,1.651226272,0.098692381,6
284,lar.tri:eri.fas,3.083333333,4.639484979,1.512988855,-1.265126788,0.205825881,6
285,men.spi:amb.sal,0.35,0.675965665,0.238092724,-0.668034351,0.504111665,6
286,men.spi:cyl.aca,0,0.015021459,0.005788008,-0.197445648,0.84347881,6
287,men.spi:cyl.ech,0.5,0.315450644,0.116803517,0.53998858,0.589204908,6
288,men.spi:cyl.ram,0.416666667,0.270386266,0.100727326,0.460906134,0.644865951,6
289,men.spi:ephedra,0.416666667,1.457081545,0.456241121,-1.540314279,0.123483765,6
290,men.spi:eri.fas,0.5,0.690987124,0.242864022,-0.387545322,0.698352539,6
291,men.spi:lar.tri,1.791666667,0.706008584,0.247612726,2.181758064,0.029127393,6
292,noID:amb.sal,0.791666667,1.545064378,0.535352822,-1.029684673,0.303158053,6
293,noID:cyl.aca,0,0.034334764,0.012991733,-0.3012316,0.763237895,6
294,noID:cyl.ech,0.916666667,0.721030043,0.262374082,0.381935207,0.702509425,6
295,noID:cyl.ram,0,0.618025751,0.226235938,-1.299348873,0.193824229,6
296,noID:ephedra,3.333333333,3.330472103,1.028455555,0.00282137,0.997748875,6
297,noID:eri.fas,0,1.579399142,0.546104775,-2.137243036,0.032578229,6
298,noID:lar.tri,0.958333333,1.613733906,0.556806955,-0.878323475,0.3797682,6
299,noID:men.spi,0,0.240343348,0.089896898,-0.801603773,0.422782195,6
300,PG:amb.sal,2,1.738197425,0.600057145,0.337969577,0.735386114,6
301,PG:cyl.aca,0,0.038626609,0.014556199,-0.320156697,0.748849547,6
302,PG:cyl.ech,1.041666667,0.811158798,0.294019496,0.425106446,0.670759079,6
303,PG:cyl.ram,1.75,0.69527897,0.253515942,2.094763356,0.036192034,6
304,PG:ephedra,1.208333333,3.746781116,1.153417176,-2.363605691,0.018098064,6
305,PG:eri.fas,2.458333333,1.776824034,0.612114625,0.871074716,0.383713358,6
306,PG:lar.tri,0.708333333,1.815450644,0.624116578,-1.401395705,0.161095776,6
307,PG:men.spi,0,0.270386266,0.100727326,-0.851943856,0.394245254,6
308,PG:noID,0,0.618025751,0.226235938,-1.299348873,0.193824229,6
309,sal.mex:amb.sal,0,0.096566524,0.034382376,-0.520785223,0.602516399,6
310,sal.mex:cyl.aca,0,0.002145923,0.000836775,-0.074183916,0.940864044,6
311,sal.mex:cyl.ech,0,0.045064378,0.016878108,-0.346873802,0.728686129,6
312,sal.mex:cyl.ram,0,0.038626609,0.014556199,-0.320156697,0.748849547,6
313,sal.mex:ephedra,0,0.208154506,0.065776524,-0.811615551,0.417012265,6
314,sal.mex:eri.fas,0.5,0.098712446,0.035070401,2.142818175,0.032127701,6
315,sal.mex:lar.tri,0,0.100858369,0.035755121,-0.533387477,0.593765385,6
316,sal.mex:men.spi,0,0.015021459,0.005788008,-0.197445648,0.84347881,6
317,sal.mex:noID,0,0.034334764,0.012991733,-0.3012316,0.763237895,6
318,sal.mex:PG,0,0.038626609,0.014556199,-0.320156697,0.748849547,6
319,tha.mon:amb.sal,1.375,0.772532189,0.271613797,1.156000268,0.247681048,6
320,tha.mon:cyl.aca,0,0.017167382,0.006601644,-0.211289552,0.832661335,6
321,tha.mon:cyl.ech,0,0.360515021,0.133233879,-0.987679477,0.323309649,6
