FID,Species,Name,Width,Length,Height,Transect,QN,QL,X,Y,Notes,sp_simp,Type,easting,northing,,,,
257,tha.mon, ,74,60,40,6,4,R,650,485, ,tha.mon,shrub,622561.877,3849102.842,,,,
258,men.spi, ,57,16,40,6,4,R,640,440, ,men.spi,shrub,622561.777,3849102.392,,,,
259,lar.tri, ,272,330,246,6,4,R,820,330, ,lar.tri,shrub,622563.577,3849101.292,,,,
260,u3, ,58,48,30,6,4,R,830,135, ,u3,shrub,622563.677,3849099.342,,,,
261,amb.sal, ,64,67,49,6,4,R,740,120,very few leave,amb.sal,shrub,622562.777,3849099.192,,,,
,eri.fas,,18,17,18,,,,,,,eri.fas,shrub,622562.077,3849100.092,,,,
262,ephedra, ,100,102,70,6,4,R,580,310, ,ephedra,shrub,622561.177,3849101.092,,,,
263,ephedra, ,127,115,61,6,4,L,110,40, ,ephedra,shrub,622566.477,3849098.392,,,,
264,tha.mon, ,78,53,38,6,4,L,145,290, ,tha.mon,shrub,622566.827,3849100.892,,,,
265,eri.fas, ,14,20,38,6,4,L,145,290,inside turp,eri.fas,shrub,622566.827,3849100.892,,,,
267,eri.fas, ,57,37,30,6,4,L,250,440, ,eri.fas,shrub,622570.327,3849102.392,,,,
268,eri.fas, ,46,27,41,6,4,L,175,570, ,eri.fas,shrub,622567.127,3849103.692,,,,
269,u3, ,63,40,35,6,4,L,85,665, ,u3,shrub,622566.227,3849104.642,,,,
270,amb.sal, ,108,87,85,6,4,L,85,735, ,amb.sal,shrub,622566.227,3849105.342,,,,
